program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2030,2030 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2030,2030 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial New Construction Transition,No,Yes,Market Rate,Inactive,2030,2030 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2015,2015 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2015,2015 Q2,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2015,2015 Q3,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2015,2015 Q4,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2016,2016 Q1,0,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2016,2016 Q2,7984.16,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2016,2016 Q3,81120.46,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2016,2016 Q4,113067.54,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2017,2017 Q1,127697.38,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2017,2017 Q2,290668.84,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2017,2017 Q3,348087.71,0,0
NYSERDA,Electric,CEF: Market Development,Commercial,Commercial Transition,No,Yes,Market Rate,Inactive,2017,2017 Q4,759948.85,2989.36,3
